	Max	         Min
1	372,4825189	2,39067921
2	192,3749955	3,2873407
3	225,0100615	2,23267171
4	150,9261939	2,67389348
5	233,2225801	2,25245485
6	256,2028655	0,19414245
7	226,2598797	1,11138628
8	365,1104995	1,4960757
9	208,9582828	1,73855199
10	313,9828678	1,5706576
11	271,1477347	2,11345614
12	468,815743	1,33456996
13	315,523734	0,01722556
14	684,7442897	1,50338946
15	688,8718581	1,79729119
16	461,2061722	1,14727851
17	490,6610917	1,29836655
18	321,7030585	1,56529095
19	257,0517968	1,78119323
20	316,6878794	2,4286819
